merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,resolution_type,resolution_confidence,raw_record_count,conflict_details
MCH1016,"Char, Bhargava And Chaudhary",5812,Restaurant,Private_Limited,Hyd,Telangana,,TODJ2902550918108,ACTIVE,1933.0,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Reddy, Amble And Parmar', 'Mangat, Som And Deshmukh', 'Char, Bhargava And Chaudhary']; Conflicting Categories: ['Telecom', 'Books_Stationery', 'Restaurant']; Conflicting Cities: ['Madras', 'Pune', 'Hyd']"
MCH1018,Kannan-Khatri,5311,Department Store,Individual,Jalandar,Punjab,2023-03-19 00:00:00,,ACTIVE,1791.0,SINGLETON,1.0,1,No duplicates
MCH1019,Iyer-Thaker,5699,Apparel,Partnership,Kolkata,West Bengal,2025-05-23 00:00:00,XXXX9462,ACTIVE,,SINGLETON,1.0,1,No duplicates
MCH1020,Garg-Kale,4131,Transportation,Sole_Proprietor,Asr,Punjab,2023-05-09 00:00:00,,ACTIVE,1015.68,SINGLETON,1.0,1,No duplicates
MCH1021,Naik-Karpe,5411,Grocery,Sole_Proprietor,Mumbai,Maharashtra,2025-11-16 17:48:36,BPUY6277335937444,ACTIVE,2341.57,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Varghese-Ramachandran', 'Naik-Karpe']; Conflicting Categories: ['Food_Services', 'Grocery']; Conflicting Cities: ['Asr', 'Mumbai']"
MCH1022,Ramesh-Bhat,,Miscellaneous Retail,Private-Limited,Hyderabad,Telangana,,,ACTIVE,3026.17,SINGLETON,1.0,1,No duplicates
MCH1032,Nori-Nigam,7011,Hotel & Lodging,Sole_Proprietor,Pune,Maharashtra,2025-09-21 00:00:00,DXHQ1859405929058,ACTIVE,652.29,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Nori-Nigam', 'Manda-Hayer']; Conflicting Cities: ['Pune', 'Amritsar']"
MCH1033,Sidhu And Sons,4814,Telecom,Individual,Jalandhar,Punjab,2023-09-11 00:00:00,WXKC0706100279623,ACTIVE,1871.48,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Sidhu And Sons', 'Virk Plc']; Conflicting Categories: ['Phone Service', 'Hospitality']; Conflicting Cities: ['Jalandhar', 'Amritsar']"
MCH1034,Devi-Chaudhari,7011,Hotel & Lodging,Private_Limited,Delhi,Delhi,2024-06-17 22:15:00,XXXX9097,ACTIVE,243.38,SINGLETON,1.0,1,No duplicates
MCH1035,Minhas-Khatri,5812,Restaurant,Sole-Proprietor,Mumbay,Maharashtra,2024-01-24 00:00:00,LDCT0604920639781,ACTIVE,5777.68,SINGLETON,1.0,1,No duplicates
MCH1039,Palan-Mody,4814,Telecom,Individual,Hyd,Telangana,2023-07-14 00:00:00,,ACTIVE,545.34,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Palan-Mody', 'Lal-Barad']; Conflicting Categories: ['Phone Service', 'Telecom']; Conflicting Cities: ['Hyd', 'Lko']"
MCH1040,Krishnan And S0Ns,5411,Grocery,Sole_Proprietor,Jalandar,Punjab,2023-01-06 00:00:00,5805252531,ACTIVE,1030.03,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Chand Plc', 'Krishnan And S0Ns']; Conflicting Categories: ['Medical', 'Kirana']; Conflicting Cities: ['Pune', 'Jalandar']"
MCH1041,Pat1A-S0M,,Apparel,Private_Limited,Kolkata,West Bengal,2024-04-21 00:00:00,,ACTIVE,3701.53,SINGLETON,1.0,1,No duplicates
MCH1044,"Jha, Salvi And Setty",5311,Department Store,Partnership,Hyderabad,Telangana,2024-10-28 00:00:00,VZSQ7155957356020,ACTIVE,1084.93,SINGLETON,1.0,1,No duplicates
MCH1047,Rana-Aurora,4814,Telecom,Partnership,Bangalore,Karnataka,2023-08-20 01:01:00,BJXS0430805448675,ACTIVE,1003.46,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Rana-Aurora', 'Natarajan, Kashyap And Goel']; Conflicting Categories: ['Telecom', 'Hotels']; Conflicting Cities: ['Bangalore', 'Kolkata']"
MCH1050,Trivedi-Zachariah,5699,Apparel,Sole Proprietor,Jaipur,Rajasthan,2025-01-30 00:00:00,0368449602,ACTIVE,2479.88,SINGLETON,1.0,1,No duplicates
MCH1053,"Gera, Grover And Sehgal",4814,Telecom,Individual,Amritsar,Punjab,2025-02-22 00:00:00,,ACTIVE,708.11,SINGLETON,1.0,1,No duplicates
MCH1054,Cheema Ltd,5311,Department Store,Private-Limited,Pune,Maharashtra,2023-05-27 00:00:00,,ACTIVE,868.09,SINGLETON,1.0,1,No duplicates
MCH1055,Dhingra-Kapoor,5311,Department Store,Partnership,Blr,Karnataka,2024-12-30 03:08:34,6794786904,ACTIVE,770.74,SINGLETON,1.0,1,No duplicates
MCH1056,Mital-Jhaveri,5311,Department Store,Partnership,Asr,Punjab,2023-09-10 00:09:34,6820698589,ACTIVE,5938.05,SINGLETON,1.0,1,No duplicates
MCH1058,"Vyas,Virkanddatta",5311,Department Store,Partnership,Poona,Maharashtra,2023-01-20 00:00:00,XXXX0826,ACTIVE,1504.39,SINGLETON,1.0,1,No duplicates
MCH1059,Prasad Ltd,4814,Telecom,Partnership,Hyd,Telangana,2023-03-18 00:00:00,XXXX9900,ACTIVE,4187.75,SINGLETON,1.0,1,No duplicates
MCH1060,"Subramaniam, Rama And Contractor",4131,Transportation,Individual,Hyderabad,Telangana,2024-05-02 09:00:14,FXHY9362967598468,ACTIVE,480.0,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Subramaniam, Rama And Contractor', 'Goda And Sons', 'Sampath-Dora']; Conflicting Categories: ['Transport', 'Dept_Store', 'Restaurants']; Conflicting Cities: ['Hyderabad', 'Madras', 'Jalandar']"
MCH1063,"Samra, Sur And Venkataraman",5999,Miscellaneous Retail,Private_Limited,Chennai,Tamil Nadu,2023-06-13 00:00:00,2476053551,ACTIVE,1297.7,SINGLETON,1.0,1,No duplicates
MCH1064,Nanda Ltd,5812,Restaurant,Individual,Amritsar,Punjab,2025-09-09 22:49:04,,ACTIVE,1182.15,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Nanda Ltd', 'Mishra-Badami']; Conflicting Categories: ['Eating Place', 'Books']; Conflicting Cities: ['Amritsar', 'Lucknow']"
MCH1068,Mall-Palan,,Miscellaneous Retail,Sole_Proprietor,Jaipur,Rajasthan,2026-02-09 09:23:00,PKRN8629349498422,ACTIVE,663.04,SINGLETON,1.0,1,No duplicates
MCH1070,Pandya Plc,5999,Miscellaneous Retail,Private Limited,Chennai,Tamil Nadu,2024-09-03 00:00:00,,ACTIVE,1259.2,SINGLETON,1.0,1,No duplicates
MCH1071,Shankargroup,7011,Hotel & Lodging,Individual,Mumbai,Maharashtra,2024-06-23 13:38:43,6765564160,ACTIVE,389.19,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Shankargroup', 'Keer, Roy And Narayanan', 'Wali And Sons']; Conflicting Categories: ['Hotel', 'Medical', 'Phone Service']; Conflicting Cities: ['Mumbai', 'Jpr', 'Bangalore']"
MCH1072,Kalla-Khalsa,5812,Restaurant,Private_Limited,Mumbai,Maharashtra,2025-11-10 00:00:00,,INACTIVE,422.23,SINGLETON,1.0,1,No duplicates
MCH1073,"Dasgupta,Rayanddara",,Pharmacy,Partnership,Lucknow,Uttar Pradesh,2024-09-22 00:00:00,XXXX7293,SUSPENDED,1002.63,SINGLETON,1.0,1,No duplicates
MCH1075,Pingle-Mohan,5912,Pharmacy,Sole-Proprietor,Ludhiana,Punjab,2025-02-24 00:00:00,XXXX2118,ACTIVE,1639.19,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Lala Plc', 'Pingle-Mohan']; Conflicting Categories: ['Phone Service', 'Medical']; Conflicting Cities: ['Pune', 'Ludhiana']"
MCH1077,Taneja-Nagar,5411,Grocery,Individual,Asr,Punjab,2026-02-27 00:00:00,QQWI6101172213624,ACTIVE,358.21,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Mitter And Sons', 'Taneja-Nagar', 'Peri, Pai And Dani']; Conflicting Categories: ['Restaurant', 'Kirana', 'Department Stores']; Conflicting Cities: ['Chennai', 'Asr', 'Pune']"
MCH1079,Sharaf And Sons,,Telecom,Sole Proprietor,Poona,Maharashtra,2023-10-20 00:00:00,,ACTIVE,455.39,SINGLETON,1.0,1,No duplicates
MCH1081,Mistry Group,5812,Restaurant,Private_Limited,Mumbay,Maharashtra,2025-05-27 00:00:00,XXXX5682,ACTIVE,2299.04,SINGLETON,1.0,1,No duplicates
MCH1082,Oommen Inc,7011,Hotel & Lodging,Partnership,Amritsar,Punjab,,6717543820,ACTIVE,833.19,SINGLETON,1.0,1,No duplicates
MCH1083,Chaudhry-Bhat,5812,Restaurant,Sole-Proprietor,Jalandhar,Punjab,2025-04-30 00:00:00,DSMZ2555394666399,INACTIVE,730.39,FORMATTING_DUPLICATE,0.85,2,2 records with formatting variations consolidated
MCH1084,Krishnamurthy Inc,5999,Miscellaneous Retail,Private_Limited,Jalandar,Punjab,2025-04-21 00:00:00,7207827487,ACTIVE,4469.21,SINGLETON,1.0,1,No duplicates
MCH1086,Agrawal-Sule,,Apparel,Individual,Ludhiana,Punjab,2023-11-13 00:00:00,,ACTIVE,1355.59,SINGLETON,1.0,1,No duplicates
MCH1087,"Mitter, Sawhney And Luthra",7011,Hotel & Lodging,Partnership,Madras,Tamil Nadu,2025-04-19 00:00:00,,SUSPENDED,2381.71,SINGLETON,1.0,1,No duplicates
MCH1089,"Mann, Edwin And Misra",5411,Grocery,Individual,Jaipur,Rajasthan,,7489263549,ACTIVE,678.0,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Mann, Edwin And Misra', 'Randhawa-Barad']; Conflicting Categories: ['Kirana', 'Books_Stationery']; Conflicting Cities: ['Jaipur', 'Jalandhar']"
MCH1093,"Dubey, Uppal And Bhatt",5812,Restaurant,Private_Limited,Poona,Maharashtra,2025-04-26 00:00:00,,INACTIVE,4005.67,SINGLETON,1.0,1,No duplicates
MCH1095,Mander Group,4814,Telecom,Partnership,Kolkata,West Bengal,2023-01-30 03:08:00,XXXX5510,ACTIVE,1277.94,SINGLETON,1.0,1,No duplicates
MCH1096,Subramanian-Prasad,5699,Apparel,Individual,Hyd,Telangana,2025-03-07 02:41:50,,ACTIVE,8373.82,SINGLETON,1.0,1,No duplicates
MCH1097,"Narayan, Datta And Chowdhury",5999,Miscellaneous Retail,Individual,Lko,Uttar Pradesh,2025-05-09 00:00:00,,ACTIVE,343.8,SINGLETON,1.0,1,No duplicates
MCH1098,"Raval, Yadav And Yogi",7011,Hotel & Lodging,Private Limited,Jaipur,Rajasthan,2023-12-01 00:00:00,XXXX3614,ACTIVE,181.0,SINGLETON,1.0,1,No duplicates
MCH1100,Swamy Inc,5311,Department Store,Partnership,Ludhiana,Punjab,2024-08-17 00:00:00,9084083237,INACTIVE,2008.22,FORMATTING_DUPLICATE,0.85,2,2 records with formatting variations consolidated
MCH1101,Mangal Inc,5912,Pharmacy,Individual,Madras,Tamil Nadu,2023-06-19 00:00:00,XXXX7862,ACTIVE,2025.16,CONFLICTING_MERCHANT_RECORD,0.55,5,"Conflicting Names: ['Mangal Inc', 'Seshadri-Rajagopalan', 'Ramaswamy-Prabhakar', 'Sethi Ltd', 'Deo, Gill And Dhaliwal']; Conflicting Categories: ['Medical', 'Phone Service', 'Pharmacies', 'Restaurant', 'Eating Place']; Conflicting Cities: ['Madras', 'Calcutta', 'Chennai', 'Kolkata', 'Delhi']"
MCH1104,Chander Llc,4814,Telecom,Private Limited,Delhi,Delhi,2024-09-05 00:00:00,,ACTIVE,778.62,SINGLETON,1.0,1,No duplicates
MCH1106,"Narang, Wali And Aurora",5411,Grocery,Sole Proprietor,Jalandhar,Punjab,2023-10-04 00:00:00,XKBE4857491773438,ACTIVE,1853.84,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Narang, Wali And Aurora', 'Agrawal, Ganguly And Kalla']; Conflicting Categories: ['Kirana', 'Grocery Stores']; Conflicting Cities: ['Jalandhar', 'Delhi']"
MCH1107,Sen-Das,,Telecom,Private Limited,Madras,Tamil Nadu,2024-09-16 00:00:00,VDXT6754486241555,ACTIVE,,SINGLETON,1.0,1,No duplicates
MCH1109,Solanki Ltd,5311,Department Store,Partnership,Mumbai,Maharashtra,2023-07-23 00:00:00,XXXX9384,ACTIVE,1262.18,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Sinha-Bumb', 'Solanki Ltd']; Conflicting Categories: ['Bus/Taxi', 'Department Stores']; Conflicting Cities: ['Amritsar', 'Mumbai']"
MCH1115,Nadkarni Llc,4131,Transportation,Partnership,Jalandhar,Punjab,,,ACTIVE,6943.0,SINGLETON,1.0,1,No duplicates
MCH1118,Chokshiinc,4131,Transportation,Partnership,Jalandar,Punjab,2025-07-26 00:00:00,XXXX1304,ACTIVE,590.75,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Chokshiinc', 'Basak, Pillai And Arora']; Conflicting Categories: ['Transport', 'Retail Other']; Conflicting Cities: ['Jalandar', 'Madras']"
MCH1122,"Rana, Choudhury And Garde",5912,Pharmacy,Partnership,Ldh,Punjab,2024-11-30 00:00:00,XXXX6047,ACTIVE,4792.92,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Bakshi And Sons', 'Rana, Choudhury And Garde']; Conflicting Categories: ['Department Store', 'Medical']; Conflicting Cities: ['Chennai', 'Ldh']"
MCH1124,Andra Inc,7011,Hotel & Lodging,Partnership,Lucknow,Uttar Pradesh,2023-08-07 00:00:00,,ACTIVE,5664.0,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Andra Inc', 'Hayre, Chana And Bhasin']; Conflicting Categories: ['Hospitality', 'Clothing']; Conflicting Cities: ['Lucknow', 'Jaipur']"
MCH1126,"Nayak, Dhaliwal And Soman",5411,Grocery,Partnership,Jalandhar,Punjab,2026-02-12 00:00:00,,ACTIVE,564.83,SINGLETON,1.0,1,No duplicates
MCH1128,Natt-Keer,5999,Miscellaneous Retail,Sole-Proprietor,Hyd,Telangana,2026-01-10 12:42:55,XXXX1918,ACTIVE,1028.32,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Natt-Keer', 'Srinivasan Group']; Conflicting Categories: ['Retail Other', 'Grocery_Store']; Conflicting Cities: ['Hyd', 'Madras']"
MCH1130,Bhargava-Dara,5311,Department Store,Individual,Amritsar,Punjab,2025-06-14 00:00:00,8689036086,ACTIVE,2188.62,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['K0Thari, Singh And Sura', 'Bhargava-Dara']; Conflicting Categories: ['Department Stores', 'Department Store']; Conflicting Cities: ['Ldh', 'Amritsar']"
MCH1132,Cheema Inc,5999,Miscellaneous Retail,Sole_Proprietor,Ludhiana,Punjab,2023-09-10 00:00:00,3299217122,ACTIVE,,SINGLETON,1.0,1,No duplicates
MCH1133,Shere Ltd,5912,Pharmacy,Partnership,Bengaluru,Karnataka,2025-06-10 00:00:00,,ACTIVE,11501.53,SINGLETON,1.0,1,No duplicates
MCH1134,"Shenoy, Gokhale And Soman",5411,Grocery,Individual,Delhi,Delhi,2024-12-11 00:00:00,KZYJ5215017385369,ACTIVE,284.86,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Sani, Uppal And Pillai', 'Shenoy, Gokhale And Soman']; Conflicting Categories: ['Pharmacies', 'Grocery']; Conflicting Cities: ['Kolkata', 'Delhi']"
MCH1136,"Bahri, Kanda And Seth",5942,Books & Stationery,Private_Limited,Madras,Tamil Nadu,2023-07-17 00:00:00,XXXX4885,ACTIVE,896.84,SINGLETON,1.0,1,No duplicates
MCH1138,"Shan,Buchandtank",5942,Books & Stationery,Sole Proprietor,Bangalore,Karnataka,2024-07-03 21:25:00,XXXX0724,ACTIVE,1369.64,SINGLETON,1.0,1,No duplicates
MCH1142,"Master, Soni And Kapadia",4814,Telecom,Sole_Proprietor,Chennai,Tamil Nadu,2024-10-06 12:07:57,4563871051,ACTIVE,252.13,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Morar Llc', 'Master, Soni And Kapadia']; Conflicting Categories: ['Misc Retail', 'Phone Service']; Conflicting Cities: ['Jalandhar', 'Chennai']"
MCH1143,Arya-Khanna,4131,Transportation,Sole_Proprietor,Jalandhar,Punjab,2023-08-16 00:00:00,9953530102,ACTIVE,486.39,SINGLETON,1.0,1,No duplicates
MCH1144,Morar-Rattan,5699,Apparel,Sole-Proprietor,Jaipur,Rajasthan,2025-01-20 00:00:00,,ACTIVE,1182.28,SINGLETON,1.0,1,No duplicates
MCH1147,Dayal-Sabharwal,4814,Telecom,Individual,Kolkata,West Bengal,2023-11-23 00:00:00,XXXX2380,INACTIVE,939.97,SINGLETON,1.0,1,No duplicates
MCH1148,Deep-Manda,4131,Transportation,Individual,Asr,Punjab,2025-06-15 00:35:23,,ACTIVE,3461.0,SINGLETON,1.0,1,No duplicates
MCH1152,Raman-Choudhury,,Grocery,Partnership,Chennai,Tamil Nadu,2025-12-19 00:00:00,XXXX0685,ACTIVE,233.0,SINGLETON,1.0,1,No duplicates
MCH1153,"Oommen, Sastry And Varty",5311,Department Store,Private-Limited,Asr,Punjab,2024-06-17 00:00:00,XXXX3616,ACTIVE,873.51,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Oommen, Sastry And Varty', 'Johal, Suri And Rama']; Conflicting Categories: ['Department Store', 'Miscellaneous']; Conflicting Cities: ['Asr', 'Kolkata']"
MCH1154,Saran And Sons,5912,Pharmacy,Private Limited,Pune,Maharashtra,2023-12-26 00:00:00,TCTB2753134775657,ACTIVE,871.24,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Oommen, Tata And Randhawa', 'Saran And Sons']; Conflicting Categories: ['Hotel', 'Pharmacies']; Conflicting Cities: ['Kolkata', 'Pune']"
MCH1155,Sha Llc,4131,Transportation,Sole Proprietor,Amritsar,Punjab,2024-03-08 00:00:00,,INACTIVE,1753.08,SINGLETON,1.0,1,No duplicates
MCH1159,Sabharwal-Gole,4814,Telecom,Partnership,Hyd,Telangana,,XXXX4659,INACTIVE,790.13,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Sabharwal-Gole', 'De Ltd']; Conflicting Categories: ['Telecom', 'Books_Stationery']; Conflicting Cities: ['Hyd', 'Calcutta']"
MCH1161,"Kuruvilla, Pall And Ravel",5411,Grocery,Private_Limited,Jalandhar,Punjab,2023-12-29 00:00:00,,ACTIVE,549.82,SINGLETON,1.0,1,No duplicates
MCH1162,"Anand, Mistry And Khare",5999,Miscellaneous Retail,Private_Limited,New Delhi,Delhi,2025-12-02 00:00:00,XXXX2346,ACTIVE,1311.0,SINGLETON,1.0,1,No duplicates
MCH1163,"Gour, Comar And Palan",4814,Telecom,Partnership,Ldh,Punjab,2025-10-25 00:00:00,BYWD2962302915002,INACTIVE,5449.73,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Gour, Comar And Palan', 'Chauhan Group']; Conflicting Categories: ['Telecom', 'Medical_Store']; Conflicting Cities: ['Ldh', 'Calcutta']"
MCH1164,Goda Plc,4131,Transportation,Partnership,Ludhiana,Punjab,2025-10-27 00:00:00,,ACTIVE,953.0,SINGLETON,1.0,1,No duplicates
MCH1168,"Seshadri, Borah And Sachdeva",,Pharmacy,Individual,Pune,Maharashtra,2026-01-04 03:19:25,CWXA5916653675162,ACTIVE,4780.41,CONFLICTING_MERCHANT_RECORD,0.55,3,"Conflicting Names: ['Sekhon Inc', 'Seshadri, Borah And Sachdeva', 'Dugal, Thaker And Rana']; Conflicting Categories: ['Grocery', 'Chemist', 'Apparel']; Conflicting Cities: ['Hyd', 'Pune']"
MCH1169,Dey-Gupta,5812,Restaurant,Individual,Blr,Karnataka,2023-03-17 00:00:00,0295503532,ACTIVE,1427.7,SINGLETON,1.0,1,No duplicates
MCH1170,"Wali, Bala And Sanghvi",5311,Department Store,Sole-Proprietor,Blr,Karnataka,2023-04-01 15:30:00,,INACTIVE,1109.65,SINGLETON,1.0,1,No duplicates
MCH1171,Sampath-Shroff,5912,Pharmacy,Partnership,Dilli,Delhi,2026-01-19 05:21:00,,ACTIVE,393.94,SINGLETON,1.0,1,No duplicates
MCH1174,Mander-Kari,5411,Grocery,Partnership,Jalandar,Punjab,2023-05-01 00:00:00,,ACTIVE,1013.97,SINGLETON,1.0,1,No duplicates
MCH1177,"Mistry, Savant And Jha",4131,Transportation,Sole Proprietor,Amritsar,Punjab,2025-08-29 18:32:00,,ACTIVE,1663.99,SINGLETON,1.0,1,No duplicates
MCH1179,Suresh-Chand,5942,Books & Stationery,Partnership,Madras,Tamil Nadu,2025-11-19 00:00:00,,ACTIVE,,SINGLETON,1.0,1,No duplicates
MCH1180,Sangha And Sons,5411,Grocery,Individual,Hyderabad,Telangana,2023-11-03 00:00:00,VUOK6265318074983,ACTIVE,993.08,SINGLETON,1.0,1,No duplicates
MCH1183,Rajan Llc,5812,Restaurant,Private_Limited,Bengaluru,Karnataka,2023-02-02 00:00:00,,ACTIVE,1717.84,SINGLETON,1.0,1,No duplicates
MCH1185,"Buch, Barad And Toor",5999,Miscellaneous Retail,Partnership,Jalandhar,Punjab,2024-06-16 00:00:00,6769671490,ACTIVE,2955.34,SINGLETON,1.0,1,No duplicates
MCH1188,M0Rar Ltd,5912,Pharmacy,Individual,Hyderabad,Telangana,2024-02-19 00:00:00,3674511273,ACTIVE,1156.7,SINGLETON,1.0,1,No duplicates
MCH1189,"Rai, Doctor And Dar",5699,Apparel,Sole_Proprietor,Mumbay,Maharashtra,2024-11-13 20:40:00,8075572970,ACTIVE,1513.0,SINGLETON,1.0,1,No duplicates
MCH1191,Raval Ltd,4814,Telecom,Individual,Kolkata,West Bengal,2023-01-19 00:18:56,,INACTIVE,1670.52,SINGLETON,1.0,1,No duplicates
MCH1193,"Padmanabhan, Sekhon And Dhawan",5812,Restaurant,Partnership,Lucknow,Uttar Pradesh,2025-01-16 00:00:00,,ACTIVE,1712.05,SINGLETON,1.0,1,No duplicates
MCH1195,Cherian-Rana,4131,Transportation,Sole_Proprietor,Jalandhar,Punjab,2025-09-09 00:00:00,,ACTIVE,364.17,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Cherian-Rana', 'Parekh-Patla']; Conflicting Categories: ['Transport', 'Books_Stationery']; Conflicting Cities: ['Jalandhar', 'Ludhiana']"
MCH1197,"Gaba, Wadhwa And Sahni",5411,Grocery,Private Limited,Mumbai,Maharashtra,2024-08-01 00:00:00,8143796682,ACTIVE,488.96,SINGLETON,1.0,1,No duplicates
MCH1199,Chad-Grewal,5812,Restaurant,Sole_Proprietor,Hyd,Telangana,2024-11-22 00:00:00,8520358001,ACTIVE,187.18,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Chad-Grewal', 'Chatterjee, Chada And Ghose']; Conflicting Cities: ['Hyd', 'Madras']"
MCH1200,Vora And Sons,,Apparel,Private_Limited,Pune,Maharashtra,2023-02-08 00:00:00,MQRX2052089170910,ACTIVE,1072.0,SINGLETON,1.0,1,No duplicates
MCH1202,Koshy-Borde,5311,Department Store,Partnership,Ludhiana,Punjab,2023-04-27 14:11:10,QMOB6262370066772,ACTIVE,1998.99,SINGLETON,1.0,1,No duplicates
MCH1204,Rana Group,5311,Department Store,Private-Limited,Jpr,Rajasthan,2025-05-24 15:30:29,,ACTIVE,733.33,SINGLETON,1.0,1,No duplicates
MCH1207,"Pillai, Oak And Barman",5812,Restaurant,Individual,Delhi,Delhi,2024-04-11 00:00:00,,ACTIVE,1280.08,SINGLETON,1.0,1,No duplicates
MCH1210,"Dua, Buch And Kaul",,Books & Stationery,Private-Limited,Bombay,Maharashtra,,9379400368,SUSPENDED,1903.0,SINGLETON,1.0,1,No duplicates
MCH1211,"Munshi, Pai And Sibal",5311,Department Store,Sole_Proprietor,Delhi,Delhi,2023-01-04 00:00:00,NHYW6672789857023,ACTIVE,296.16,SINGLETON,1.0,1,No duplicates
MCH1213,Ray Llc,5912,Pharmacy,Partnership,Pune,Maharashtra,2024-01-07 18:33:52,1805958295,ACTIVE,1556.0,FORMATTING_DUPLICATE,0.85,2,2 records with formatting variations consolidated
MCH1214,Patel-Bhatti,5311,Department Store,Individual,Jalandhar,Punjab,2024-10-05 17:31:40,XXXX0366,ACTIVE,1829.91,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Padmanabhan Gr0Up', 'Patel-Bhatti']; Conflicting Categories: ['Telecom', 'Department Store']; Conflicting Cities: ['Amritsar', 'Jalandhar']"
